Prod Code,Product,MRP,Opening,Adjustment,Purchase,Pur Return,Sale,Schem,Combo,Issue,Deliver Recipt,Production,Stock Rsv,Stock Trans,Expiry,Total
306,PARLE MILANO MINIS CHOCOLATE CHIP COOKIES 100GM,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,OLD SPICE SHAVE FOAM ORIGINAL 250GM,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,OLD SPICE SHAVE FOAM FRESH LIME 250GM,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,OLD SPICE LATHER SHAVING CREAM FRESH LIME 70GM,65,2,0,0,0,0,0,0,0,0,0,0,0,0,2
314,OLD SPICE LATHER SHAVING CREAM ORIGINAL 70GM,65,3,0,0,0,0,0,0,0,0,0,0,0,0,3
315,OLD SPICE LATHER SHAVING CREAM MUSK 70GM,65,2,0,0,0,0,0,0,0,0,0,0,0,0,2
316,PARLE MILANO DELICIOUSLY RICH CHOCOLATE CHIP COOKIES 150GM,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,GILLETTE SHAVING FOAM SENSITIVE 245GM,285,1,0,0,0,0,0,0,0,0,0,0,0,0,1
322,GILLETTE BODY SPRAY SPORT PROTECT 150ML,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323,GILLETTE SHAVING GEL REGULAR 60GM,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,YARDLEY LATHER SHAVING CREAM GOLD 70GM,60,3,0,0,0,0,0,0,0,0,0,0,0,0,3
326,LIA PRIME ROSE AGARBATHIES 75GM,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327,LIA PRIME ROSE AGARBATHIES 280GM,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
328,LIA CHANDANAM DIVINE & SOOTHING 35GM,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
329,LIA SAMTRUPTI AGARBATHIES 75GM,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,LIA NATURE GIFT AGARBATHIES 35GM,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331,LIA JASMINE AGARBATHIES 35GM,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
332,LIA CHANDANAM AGARBATHIES 20GM,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1
333,LIA NATURES GIFT 35GM,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338,LIA SAMTRUPTI AGARBATHIES 130GM,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
341,MTR GULAB JAMUN 150GM,65,1,0,0,0,0,0,0,0,0,0,0,0,0,1
343,CYCLE SANDALUM AGARBATHIES 12N,10,10,0,0,0,2,0,0,0,0,0,0,0,0,8
346,CYCLE THREE IN ONE AGARBATHIES 115GM,50,4,0,0,0,0,0,0,0,0,0,0,0,0,4
347,CYCLE SANDALUM AGARBATHIES 110GM,50,9,0,0,0,0,0,0,0,0,0,0,0,0,9
354,WOODS NATURAL INCENSE AGARBTHIES 20N,75,1,0,0,0,0,0,0,0,0,0,0,0,0,1
357,JYOT SMALL,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
359,CLOTH CLIP PLASTIC RS.90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,JOHNSONS BABY SOAP 75GM,45,4,0,0,0,1,0,0,0,0,0,0,0,0,3
361,JOHNSONS BABY SOAP 100GM,55,2,0,0,0,0,0,0,0,0,0,0,0,0,2
363,JOHNSONS BABY MILK SOAP 75GM,45,4,0,0,0,0,0,0,0,0,0,0,0,0,4
365,JOHNSONS BABY LOTION 100ML,80,2,0,0,0,0,0,0,0,0,0,0,0,0,2
366,JOHNSONS BABY LOTION 200ML,142,2,0,0,0,0,0,0,0,0,0,0,0,0,2
367,JOHNSONS BABY CREAM 100GM,127,2,0,0,0,0,0,0,0,0,0,0,0,0,2
369,JOHNSONS BABY MILK LOTION 50ML,47,1,0,0,0,0,0,0,0,0,0,0,0,0,1
370,JOHNSONS BABY MILK LOTION 100ML,89,2,0,0,0,0,0,0,0,0,0,0,0,0,2
371,JOHNSONS BABY MILK LOTION 200ML,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0
372,JOHNSONS BABY CREAM 30GM,42,1,0,0,0,0,0,0,0,0,0,0,0,0,1
374,JOHNSONS BABY SHAMPOO NO MORE TEARS 200ML,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,JOHNSONS BABY OIL 100ML,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
377,JOHNSONS BABY HAIR OIL 60ML,43,2,0,0,0,0,0,0,0,0,0,0,0,0,2
378,JOHNSONS BABY HAIR OIL 100ML,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
379,JOHNSONS BABY TOP-TO-TOE WASH 100ML,70,1,0,0,0,0,0,0,0,0,0,0,0,0,1
383,JOHNSONS BABY POWDER 100GM,70,1,0,0,0,0,0,0,0,0,0,0,0,0,1
384,JOHNSONS BABY CREAM 50GM,66,2,0,0,0,0,0,0,0,0,0,0,0,0,2
386,JOHNSONS BABY CARE COLLECTION KIT RS.190,190,1,0,0,0,0,0,0,0,0,0,0,0,0,1
388,JOHNSONS BABY OIL 50ML,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
389,JOHNSONS BABY SHAMPOO NO MORE TEARS 60ML,52,1,0,0,0,0,0,0,0,0,0,0,0,0,1
390,JOHNSONS BABY LOTION 50ML,45,1,0,0,0,0,0,0,0,0,0,0,0,0,1
392,JOHNSONS BABY TOOTHBRUSH TENDER BRISTLE,33,2,0,0,0,0,0,0,0,0,0,0,0,0,2
393,JOHNSONS BABY POWDER 200GM,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0
396,PLASTIC JUNA,20,17,0,0,0,0,0,0,0,0,0,0,0,0,17
400,HIMALAYA HAIR OIL ANTI DANDRUFF 200ML,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404,JOHNSONS BABY SKINCARE 80WIPES,220,5,0,0,0,0,0,0,0,0,0,0,0,0,5
407,HIMALAYA SHAMPOO DRYNESS DEFENES PROTEIN 200ML,130,1,0,0,0,0,0,0,0,0,0,0,0,0,1
410,ORAL-B TOOTH BRUSH ALL ROUNDER CAVITY DEFENCE SOFT 1P,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
411,ORAL-B ALL ROUNDER GUM PROTECT 40EXTRA SOFT,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
412,ORAL-B TOOTH BRUSH EXTRA SOFT SENSITIVE SUPER THIN 1NOS,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
413,ORAL-B  TOOTH BRUSH ALL ROUNDER GUM PROTECT,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
414,ORAL-B TOOTH BRUSH WITH NEEM EXTRACT SOFT 1NOS,35,6,0,0,0,0,0,0,0,0,0,0,0,0,6
415,ORAL-B TOOTH BRUSH CAVITY DEFENSE BLACL MEDIUM 1NOS,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
416,ORAL-B TOOTH BRUSH GUM CARE IMPROVES GUM HEALTH IN 4 WEEKS SOFT 1NSO,75,3,0,0,0,0,0,0,0,0,0,0,0,0,3
417,ORAL-B TOOTH BRUSH PRO-HEALTH PLAQUE REMOVAL MEDIUM,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
418,ORAL-B TOOTH BRUSH SENSITIVE WHITENING SOFT 1P,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
419,ORAL-B MICKEY FOR KIDS SOFT,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,ORAL-B TOOTH BRUSH ALL ROUNDER CAVITY DEFENSE 123 SOFT 1NOS,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
421,ORAL-B TOOTH BRUSH ALLROUNDER CAVUTY DELICATE 123 SOFT 2NOS,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
422,ORAL-B TOOTH BRUSH KIDS SOFT,50,0,0,6,0,0,0,0,0,0,0,0,0,0,6
