Title,Short Name,HSN Code,Barcode,Tax,MRP,Sale Price,Opening Stock,Purchase Price,Weight,Item Category,Item Company,Sub Category,Item Company Category,Minimum Quantity,Maximum Quantity,Reorder Quantity
AASHIRVAAD READY MEALS PALAK PANEER 285GM,AASH.PALAK PANEER,0,8901730000000,GST @12%,85,85,0,65.7,0,READY TO EAT,AASHIRVAAD,<Add New>,,,,
AASHIRVAAD READY MEALS RAJMA MASALA 285GM,AASH.RAJMA MASALA,0,8901730000000,GST @12%,75,75,0,57.97,0,READY TO EAT,AASHIRVAAD,<Add New>,,,,
WILD STONE TALCUM FOREST SPICE  DEO 300GM,WILD.FOREST SPICE TA,0,8904010000000,GST @12%,125,125,0,88.89,0,PERSONAL CARE,WILD STONE,SKIN CARE,,,,
DENVER SOAP BLACK.CODE 75GM,DENVER SOAP BLACK.CO,0,8901450000000,GST @12%,25,25,0,20,0,PERSONAL CARE,DENVER,SKIN CARE,,,,
CANDYMAN CHOCO DOUBLE ECLAIRS RS.1,CAND.CHOCO ECLAIRS,0,8901730000000,GST @12%,1,1,0,0.79,0,"CHOCOLATES,SWEETS AND CANDIES",<Add New>,CHOCOLATES,,,,
BINGO TEDHE MEDHE MASALA TADKA 135GM,BINGO TEDHE MEDHE MA,2106,8901730000000,GST @12%,20,20,3,16.33,48.99,"SNACKS,CHIPS",BINGO,CHIPS,,,,
BINGO MAD ANGLES ACHAARI MASTI 140GM,BINGO ACHAARI MASTI,2106,8901730000000,GST @12%,30,30,0,24.49,0,"SNACKS,CHIPS",BINGO,CHIPS,,,,
BINGO YUMITOS INTERNATIONAL CREAM AND ONION 89GM,BINGO INT.CREAM & ON,0,8901730000000,GST @12%,30,30,0,24.4,0,"SNACKS,CHIPS",BINGO,CHIPS,,,,
MINUTE MAID MIXED FRUIT 400ML,MINUTE MAID MIXED FR,0,8901760000000,Tax 5%,30,30,0,23.81,0,DRINKS AND BEVERAGES,MINUTE MAID,FRUIT DRINKS AND JUICES,,,,
TROPICANA JUICE MOSAMBI 200ML,TROPICANA JUICE MOSA,22029020,8902080000000,GST @12%,20,20,25,12.53,313.25,"GROCERY,DALS",TROPICANA,FRUIT DRINKS AND JUICES,,,,
ZANDU CHYAVANPRASH 450GM,ZANDU CHYAVANPRASH 4,30049011,8901250000000,GST @5%,159,159,0,132.83,0,HEALTH,ZANDU ,<Add New>,,,,
ZANDU CHYAVANPRASH 900GM,ZANDU CHYAVANPRASH 9,30049011,8901250000000,GST @5%,285,285,0,238.1,0,HEALTH,ZANDU ,<Add New>,,,,
NIVEA SCRUB SKIN REFINING 150ML,NIVEA SCRUB SKIN REF,34013090,4005900000000,GST @28%,190,190,0,131.36,0,PERSONAL CARE,NIVEA,SKIN CARE,,,,
NIVEA MEN DARK SPOT REDUCTION CREME 75ML,NIVEA MEN DARK SPOT ,33049990,4005900000000,GST @18%,180,180,4,134.99,539.96,PERSONAL CARE,NIVEA,SKIN CARE,,,,
SWADESHI DALIA 300GM,SWADESHI DALIA 300GM,1103,14011,GST @0%,26,26,9,18,162,"GROCERY,DALS",SWADESHI,"ATTA,MAIDA,SUJI",,,,
SWADESHI HANDMADE SEWIAN 300GM,SWA.HANDMADE SEWIAN,0,14012,Tax 5%,45,45,3,38,114,"GROCERY,DALS",SWADESHI,"PASTA,SPAGHETTI,VERMICELLI",,,,
KURKURE KARARE PEANUTS 155GM,KURKURE KARARE PEANU,21069099,8901490000000,GST @12%,35,35,9,25.79,232.11,"SNACKS,CHIPS",KURKURE,SNACKS,,,,
PARLE GOLD STAR BUTTER COOKIES 150GM,PARLE GOLD STAR BUTT,0,8901720000000,GST @12%,20,20,0,15.87,0,BISCUITS,PARLE,CREAM BISCUITS,,,,
GARNIER HAIR CREAM BLACK NATURALS BURGUNDY  NATURAL 3.16 45ML,GAR.NAT.BURGUNDY,0,8901530000000,GST @12%,160,160,0,126.98,0,PERSONAL CARE,GARDEN,HAIR CARE,,,,
BHUIRA GINGER & APPLE JELLY 470GM,BHUIRA GINGER & APPL,20071000,BJ1258003,Tax 5%,250,250,1,207.03,207.03,"SAUCES,JAMS,PICKLES",BHUIRA JAMS,OTHER JAMS,,,,
PEDIASURE VANILLA DELIGHT BOX 200GM,PEDIASURE VANILLA DE,19019090,8904150000000,GST @18%,285,285,0,214.29,0,DRINKS AND BEVERAGES,PEDIASURE,ENERGY AND HEALTH DRINKS,,,,
PEDIASURE VANILLA DELIGHT BOX 400GM,PEDIASURE VANILLA DE,21069099,8904150000000,GST @18%,500,500,0,377.12,0,DRINKS AND BEVERAGES,PEDIASURE,ENERGY AND HEALTH DRINKS,,,,
PEDIASURE VANILLA DELIGHT BOX 750GM,PEDIASURE VANILLA DE,21069099,8904150000000,GST @18%,910,910,1,686.36,686.36,DRINKS AND BEVERAGES,PEDIASURE,ENERGY AND HEALTH DRINKS,,,,
PEDIASURE PREMIUM CHOCOLATE FLAVOUR BOX 750GM,PEDIASURE PREMIUM CH,21069099,8904150000000,GST @18%,910,910,0,686.36,0,DRINKS AND BEVERAGES,PEDIASURE,ENERGY AND HEALTH DRINKS,,,,
PEDIASURE PREMIUM CHOCOLATE BOX 200GM,PEDIASURE PREMIUM CH,21069099,8904150000000,GST @18%,290,290,1,218.73,218.73,DRINKS AND BEVERAGES,PEDIASURE,ENERGY AND HEALTH DRINKS,,,,
FAIR AND HANDSOME COMPLETE WINTER SOLUTION MOISTURE BOOSTERS 60GM,FAIR&HAN.WINTER SOLU,33049910,8901250000000,GST @18%,135,135,2,99.87,199.74,PERSONAL CARE,FAIR & HANDSOME,SKIN CARE,,,,
FAIR AND HANDSOME COMPLETE WINTER SOLUTION MOISTURE BOOSTERS 30GM,FAIR&HAND.COM.WINTER,33049910,8901250000000,GST @18%,75,75,0,56.04,0,PERSONAL CARE,FAIR & HANDSOME,SKIN CARE,,,,
